name,description,centroid_lon,centroid_lat,bbox_west,bbox_south,bbox_east,bbox_north
PL9/40,,-0.528803252725382,10.802378382237224,-0.5833333333,10.6541666667,-0.5,10.8833333333
PL9/22,,-0.7147569444352432,10.838286356218905,-0.8,10.7416666667,-0.6,10.9416666667
PL9/28,,-1.0255278706083129,10.582269816598046,-1.0876527777777778,10.512611111111111,-0.9834888888888889,10.641747222222222
RL9/29,,-0.8040484234070014,10.905788288319135,-0.8458333333,10.8166666667,-0.7208333333,10.9916666667
PL9/38,,-0.9622628726354318,10.909366531196575,-1.0,10.8166666667,-0.9208333333,10.9958333333
PL6/125,,-1.8569230715922784,6.512632333177345,-1.8746694444444445,6.499991666666666,-1.8397027777777777,6.528125
PL6/484,,-1.2534748379628013,6.756640666207654,-1.3336833333333333,6.653144444444444,-1.1667138888888888,6.8335333333333335
PL7/193,,-2.1046587926570357,7.144176509198542,-2.1625,7.1083333333,-2.0541666667,7.1666666667
PL7/82,,-2.540913139489843,6.796993861605593,-2.5836944444444443,6.779122222222222,-2.4625,6.825
PL7/84,,-2.2158773291795715,7.285960144925899,-2.25,7.25,-2.1708333333,7.3333333333
PL8/43,,-2.0572767856896808,8.848318452360036,-2.1208333333,8.8083333333,-1.9958333333,8.8875
PL7/107,,-2.7793531543081964,6.656122122758717,-2.8416666667,6.6041666667,-2.7208333333,6.7041666667
PL2/484,,-2.2396343537445684,6.098681972775261,-2.2791666667,6.0291666667,-2.1833333333,6.1333333333
PL8/27,,-1.5343565088825621,8.747497534506413,-1.575,8.7208333333,-1.4875,8.7791666667
xxx,,-2.1040102232987707,5.594656588601367,-2.151927777777778,5.559697222222222,-2.037602777777778,5.6248555555555555
PL2/56 TJ,,-2.3717090514287973,6.363038115088109,-2.4126222222222222,6.275083333333333,-2.3415972222,6.429502777777778
RL3/26,,-1.9140184067436632,5.855814712929115,-2.0,5.7,-1.8208333333,6.025
RL2/103,,-2.0610318500138027,5.164682091730619,-2.0833583333333334,5.141202777777778,-2.031997222222222,5.197058333333334
PL5/53,,-2.9391866930194643,6.287497971742411,-2.975452777777778,6.2618833333333335,-2.916813888888889,6.3202388888888885
PL2/99,,-1.999419527203025,4.999242631913382,-2.0249805555555556,4.979188888888889,-1.979325,5.016644444444444
PL2/414,,-2.0902633188398045,5.1565516395895115,-2.120808333333333,5.133422222222222,-2.066675,5.187488888888889
PL3/67,,-0.7264282551432055,5.31650264875629,-0.7585361111111111,5.300147222222222,-0.6834055555555556,5.329355555555556
PL2/572,,-2.09479166668375,5.7083333333375,-2.1041666667,5.6958333333,-2.0791666667,5.7166666667
RL6/154,,-1.6216900582344072,6.381311404306233,-1.6668166666666666,6.333491666666666,-1.533425,6.416691666666667
RL6/115,,-1.8663999663336923,6.655531110170526,-1.884511111111111,6.616702777777777,-1.8484305555555556,6.694066666666667
